date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:55	237464/237464	---M--	200	added ('OK')	image/webp	etag:%223269578cdbd9cc1fcfb33e696d048368%22	https://dvdrod.com/images/referral-case.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/referral-case.webp	(from https://dvdrod.com/)
11:00:57	72214/72214	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jan%202024%2023:33:45%20GMT	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js	D:/Me/Portfolio/Iam-Athul/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js	(from https://dvdrod.com/)
11:00:57	1287675/1287675	---M--	200	added ('OK')	application/pdf	etag:%22ccba53db5e692e6d9b2a9ed822a2c905%22	https://dvdrod.com/CV_David_Rodriguez.pdf	D:/Me/Portfolio/Iam-Athul/dvdrod.com/CV_David_Rodriguez.pdf	(from https://dvdrod.com/)
11:00:57	43380/43380	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jan%202024%2023:33:45%20GMT	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	D:/Me/Portfolio/Iam-Athul/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	(from https://dvdrod.com/)
11:00:58	115/115	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2007%20Jun%202026%2005:30:58%20GMT	https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.15.delayed	(from https://dvdrod.com/caixabank)
11:00:58	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.16.delayed	(from https://dvdrod.com/caixabank)
11:00:58	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.17.delayed	(from https://dvdrod.com/gymondo-premium)
11:00:59	617284/617284	---M--	200	added ('OK')	image/jpeg	etag:%22c80534265a2a865ccab63e68b0d9cf8f%22	https://dvdrod.com/images/gp-benchmark.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/gp-benchmark.jpg	(from https://dvdrod.com/gymondo-premium)
11:00:59	336387/336387	---M--	200	added ('OK')	image/jpeg	etag:%229229df83b11408ea85122a9db6644787%22	https://dvdrod.com/images/gp-userflow.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/gp-userflow.jpg	(from https://dvdrod.com/gymondo-premium)
11:01:00	12145489/12145489	---M--	200	added ('OK')	application/pdf	etag:%22c74ae0ea9bc0e67faf31449d2ace28a9%22	https://dvdrod.com/David%20Rodriguez%20-%20Portfolio.pdf	D:/Me/Portfolio/Iam-Athul/dvdrod.com/David%20Rodriguez%20-%20Portfolio.pdf	(from https://dvdrod.com/)
11:01:00	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.1b.delayed	(from https://dvdrod.com/gymondo-challenges)
11:01:00	435726/435726	---M--	200	added ('OK')	image/jpeg	etag:%224cde35fc21d930eb40e15ceb0637ca95%22	https://dvdrod.com/images/gp-abtest.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/gp-abtest.jpg	(from https://dvdrod.com/gymondo-premium)
11:01:01	357112/357112	---M--	200	added ('OK')	image/jpeg	etag:%2280fd36e6e3efafa63f327eecbcd38a62%22	https://dvdrod.com/images/gc-survey.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/gc-survey.jpg	(from https://dvdrod.com/gymondo-challenges)
11:01:02	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.1e.delayed	(from https://dvdrod.com/zattoo)
11:01:02	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.1f.delayed	(from https://dvdrod.com/zattoo)
11:01:02	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.20.delayed	(from https://dvdrod.com/neotaste-onboarding)
11:01:02	408208/408208	---M--	200	added ('OK')	image/jpeg	etag:%22b5ee975c880594f3c9f46e666d41a1fb%22	https://dvdrod.com/images/gc-finaldesign.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/gc-finaldesign.jpg	(from https://dvdrod.com/gymondo-challenges)
11:01:03	1770392/1770392	---M--	200	added ('OK')	image/png	etag:%226bb765e4fc2ca6531170b245d46626ad%22	https://dvdrod.com/images/neotaste-onboarding/old%20onboarding.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/old%20onboarding.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:04	203566/203566	---M--	200	added ('OK')	image/png	etag:%2275bdcb07552f9fc594f43add32f614c3%22	https://dvdrod.com/images/neotaste-onboarding/old%20static%20splash.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/old%20static%20splash.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:05	431332/431332	---M--	200	added ('OK')	video/mp4	etag:%22a2a1bfbf5005f7eef4277f6e26b8eb21%22	https://dvdrod.com/images/neotaste-onboarding/new-splash.mp4	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/new-splash.mp4	(from https://dvdrod.com/neotaste-onboarding)
11:01:06	25991/25991	---M--	200	added ('OK')	image/jpeg	etag:%2286d550196691865582a072b231774300%22	https://dvdrod.com/images/neotaste-onboarding/poster-splash.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/poster-splash.jpg	(from https://dvdrod.com/neotaste-onboarding)
11:01:07	894640/894640	---M--	200	added ('OK')	video/mp4	etag:%22269f6a368e5492ba26d6ad39c98e61b7%22	https://dvdrod.com/images/neotaste-onboarding/new-onboarding.mp4	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/new-onboarding.mp4	(from https://dvdrod.com/neotaste-onboarding)
11:01:08	6569684/6569684	---M--	200	added ('OK')	image/png	etag:%221849bdb55bb37f9e502014fd43b61466%22	https://dvdrod.com/images/neotaste-onboarding/New%20Onboarding.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/New%20Onboarding.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:08	83114/83114	---M--	200	added ('OK')	image/jpeg	etag:%22a6ec67ff0e9a49517e4f6acccaf2e060%22	https://dvdrod.com/images/neotaste-onboarding/poster-onboarding.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/poster-onboarding.jpg	(from https://dvdrod.com/neotaste-onboarding)
11:01:09	1041993/1041993	---M--	200	added ('OK')	image/png	etag:%22ad5b08aab4bc6fef80ee416b88b460da%22	https://dvdrod.com/images/neotaste-onboarding/paywall_old.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/paywall_old.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:10	187930/187930	---M--	200	added ('OK')	image/png	etag:%22f7f3cf2525a71fb609c5b9dfad43d634%22	https://dvdrod.com/images/neotaste-onboarding/pricing_old.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/pricing_old.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:10	1208555/1208555	---M--	200	added ('OK')	image/png	etag:%22e5b6041dccc53694f10d8bcf14a89bfe%22	https://dvdrod.com/images/neotaste-onboarding/paywall_new.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/paywall_new.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:10	73879/73879	---M--	200	added ('OK')	image/png	etag:%225aa946ea135615fafde8e9256dfa3780%22	https://dvdrod.com/images/neotaste-onboarding/pricing_new.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/pricing_new.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:11	84545/84545	---M--	200	added ('OK')	image/png	etag:%221c15dcfba1622b538a18c89afd229fa5%22	https://dvdrod.com/images/neotaste-onboarding/payment_old.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/payment_old.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:12	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.2e.delayed	(from https://dvdrod.com/neotaste-quests)
11:01:12	0/-1	---M--	308	error ('')			https://dvdrod.com/index.html	D:/Me/Portfolio/Iam-Athul/dvdrod.com/index.2f.delayed	(from https://dvdrod.com/neotaste-quests)
11:01:12	65339/65339	---M--	200	added ('OK')	image/png	etag:%220df46d591762a533d2e0375fb5a080db%22	https://dvdrod.com/images/neotaste-onboarding/payment_new.png	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-onboarding/payment_new.png	(from https://dvdrod.com/neotaste-onboarding)
11:01:12	21748/21748	---M--	200	added ('OK')	image/webp	etag:%2242ce92577be5d59b686a9b18c070631e%22	https://dvdrod.com/images/neotaste-quest/research-competitor-onboarding.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/research-competitor-onboarding.webp	(from https://dvdrod.com/neotaste-quests)
11:01:13	44308/44308	---M--	200	added ('OK')	image/webp	etag:%228aff6167200ca86da4715132af7e6239%22	https://dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.32.58.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.32.58.webp	(from https://dvdrod.com/neotaste-quests)
11:01:13	51730/51730	---M--	200	added ('OK')	image/webp	etag:%22f74538ace30740ffdab03807e6e8e7e6%22	https://dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.33.06.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.33.06.webp	(from https://dvdrod.com/neotaste-quests)
11:01:14	83614/83614	---M--	200	added ('OK')	image/webp	etag:%22109d4906e8e7d1bc0c7ca44ac6bf9ae7%22	https://dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.33.19.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.33.19.webp	(from https://dvdrod.com/neotaste-quests)
11:01:14	92302/92302	---M--	200	added ('OK')	image/webp	etag:%22b855ff7da02746f879dd78a53ed0778b%22	https://dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.33.58.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.33.58.webp	(from https://dvdrod.com/neotaste-quests)
11:01:15	66932/66932	---M--	200	added ('OK')	image/webp	etag:%226407a6552c90c9f41551f0391ca10ac7%22	https://dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.34.04.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.34.04.webp	(from https://dvdrod.com/neotaste-quests)
11:01:15	79374/79374	---M--	200	added ('OK')	image/webp	etag:%22fdb5e90cd9bb1fa0d19a54d251702657%22	https://dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.34.15.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/visual-exploration/Screenshot%202026-03-31%20at%2013.34.15.webp	(from https://dvdrod.com/neotaste-quests)
11:01:16	100758/100758	---M--	200	added ('OK')	image/webp	etag:%22e35f974c6f621ed8faf331a4af7b6b42%22	https://dvdrod.com/images/neotaste-quest/screen-entry-point.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-entry-point.webp	(from https://dvdrod.com/neotaste-quests)
11:01:16	109524/109524	---M--	200	added ('OK')	image/webp	etag:%2251e74babbf14a0d8c93702a55e605d9e%22	https://dvdrod.com/images/neotaste-quest/screen-quest-new.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-quest-new.webp	(from https://dvdrod.com/neotaste-quests)
11:01:17	106644/106644	---M--	200	added ('OK')	image/webp	etag:%226e06dfeb350449ef872993a706c26b26%22	https://dvdrod.com/images/neotaste-quest/screen-quest-notnew.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-quest-notnew.webp	(from https://dvdrod.com/neotaste-quests)
11:01:18	107630/107630	---M--	200	added ('OK')	image/webp	etag:%22b6942d55b8ab2ee9798a40276c944db2%22	https://dvdrod.com/images/neotaste-quest/screen-quest-completed.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-quest-completed.webp	(from https://dvdrod.com/neotaste-quests)
11:01:18	50790/50790	---M--	200	added ('OK')	image/webp	etag:%22549636e091be84658c5b6de57754211c%22	https://dvdrod.com/images/neotaste-quest/screen-celebration.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-celebration.webp	(from https://dvdrod.com/neotaste-quests)
11:01:18	60252/60252	---M--	200	added ('OK')	image/webp	etag:%22650324fea2c4cef4c3fdc049697494c0%22	https://dvdrod.com/images/neotaste-quest/figma-file-view.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/figma-file-view.webp	(from https://dvdrod.com/neotaste-quests)
11:01:19	45556/45556	---M--	200	added ('OK')	image/webp	etag:%221fe0ec5d874769097107306e344086b1%22	https://dvdrod.com/images/neotaste-quest/screen-preferences01.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-preferences01.webp	(from https://dvdrod.com/neotaste-quests)
11:01:19	41310/41310	---M--	200	added ('OK')	image/webp	etag:%229dc13591b253879bb1c3098c65c86071%22	https://dvdrod.com/images/neotaste-quest/screen-preferences02.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-preferences02.webp	(from https://dvdrod.com/neotaste-quests)
11:01:20	54368/54368	---M--	200	added ('OK')	image/webp	etag:%222176a5aed96600db45162930fb43b60e%22	https://dvdrod.com/images/neotaste-quest/screen-preferences03.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-preferences03.webp	(from https://dvdrod.com/neotaste-quests)
11:01:20	63640/63640	---M--	200	added ('OK')	image/webp	etag:%224f0bd45bf045e1637ef5a4e2990d828e%22	https://dvdrod.com/images/neotaste-quest/screen-preferences04.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-preferences04.webp	(from https://dvdrod.com/neotaste-quests)
11:01:21	46980/46980	---M--	200	added ('OK')	image/webp	etag:%228100c6ca23773cbcd3364d559456835c%22	https://dvdrod.com/images/neotaste-quest/screen-preferences05.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-preferences05.webp	(from https://dvdrod.com/neotaste-quests)
11:01:21	46416/46416	---M--	200	added ('OK')	image/webp	etag:%22cfa9ca545a8ec429e0e667ae9ea57e6e%22	https://dvdrod.com/images/neotaste-quest/screen-old-levels.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-old-levels.webp	(from https://dvdrod.com/neotaste-quests)
11:01:21	39098/39098	---M--	200	added ('OK')	image/webp	etag:%222df76b1bfd462bcbc3dac69e23c0dcb3%22	https://dvdrod.com/images/neotaste-quest/screen-levels-empty-state.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-levels-empty-state.webp	(from https://dvdrod.com/neotaste-quests)
11:01:22	53518/53518	---M--	200	added ('OK')	image/webp	etag:%2277f9ad347252b2a19fbe83a5ac73d5d5%22	https://dvdrod.com/images/neotaste-quest/screen-levels-foodlegend.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-levels-foodlegend.webp	(from https://dvdrod.com/neotaste-quests)
11:01:22	71736/71736	---M--	200	added ('OK')	image/webp	etag:%220684413912dfef15092725a4c1612f2a%22	https://dvdrod.com/images/neotaste-quest/screen-levels-profilewith.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/screen-levels-profilewith.webp	(from https://dvdrod.com/neotaste-quests)
11:01:23	59918/59918	---M--	200	added ('OK')	image/webp	etag:%22ab820ccfba7d89981214758f0e85c6a0%22	https://dvdrod.com/images/neotaste-quest/design-system-updates.webp	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/design-system-updates.webp	(from https://dvdrod.com/neotaste-quests)
11:01:24	1100755/1100755	---M--	200	added ('OK')	video/mp4	etag:%22bb0817d5bfaeda89045ff75a068fd559%22	https://dvdrod.com/images/neotaste-quest/food-preferences.mp4	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/food-preferences.mp4	(from https://dvdrod.com/neotaste-quests)
11:01:24	465234/465234	---M--	200	added ('OK')	video/mp4	etag:%2217a624821663df8b9a6470f9f4fd0697%22	https://dvdrod.com/images/neotaste-quest/food-preferences-progress-bar.mp4	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/food-preferences-progress-bar.mp4	(from https://dvdrod.com/neotaste-quests)
11:01:24	531879/531879	---M--	200	added ('OK')	video/mp4	etag:%227e75ed740d1012eb443a5f6208b30890%22	https://dvdrod.com/images/neotaste-quest/badge-animation.mp4	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/neotaste-quest/badge-animation.mp4	(from https://dvdrod.com/neotaste-quests)
11:01:24	19161659/19161659	---M--	200	added ('OK')	image/jpeg	etag:%2262ac27fba69bca93f85c6d3f1ecde41c%22	https://dvdrod.com/images/quest-case.jpg	D:/Me/Portfolio/Iam-Athul/dvdrod.com/images/quest-case.jpg	(from https://dvdrod.com/neotaste-quests)
